xdata, ydata0, ydata1, ydata2, ydata3
4.066994800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.452896585E+5
4.066995700E+2 , NaN , NaN , NaN , NaN
4.066996600E+2 , NaN , NaN , NaN , NaN
4.066997500E+2 , NaN , NaN , NaN , NaN
4.066998400E+2 , NaN , NaN , NaN , NaN
4.066999300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.919972106E+5
4.067000200E+2 , NaN , NaN , NaN , NaN
4.067001100E+2 , NaN , NaN , NaN , NaN
4.067002000E+2 , NaN , NaN , NaN , NaN
4.067002900E+2 , NaN , NaN , NaN , NaN
4.067003800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.722697325E+5
4.067004700E+2 , NaN , NaN , NaN , NaN
4.067005600E+2 , NaN , NaN , NaN , NaN
4.067006500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.691760533E+5
4.067007400E+2 , NaN , NaN , NaN , NaN
4.067008300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.530053023E+5
4.067009200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.338401059E+5
4.067010100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.795697073E+5
4.067011000E+2 , NaN , NaN , NaN , NaN
4.067011900E+2 , NaN , NaN , NaN , NaN
4.067012800E+2 , NaN , NaN , NaN , NaN
4.067013700E+2 , NaN , NaN , NaN , NaN
4.067014600E+2 , NaN , NaN , NaN , NaN
4.067015500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.472667083E+5
4.067016400E+2 , NaN , NaN , NaN , NaN
4.067017300E+2 , NaN , NaN , NaN , NaN
4.067018200E+2 , NaN , NaN , NaN , NaN
4.067019100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.937867395E+5
4.067020000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.137842566E+5
4.067020900E+2 , NaN , NaN , NaN , NaN
4.067021800E+2 , NaN , NaN , NaN , NaN
4.067022700E+2 , NaN , NaN , NaN , NaN
4.067023600E+2 , NaN , NaN , NaN , NaN
4.067024500E+2 , NaN , NaN , NaN , NaN
4.067025400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.930492521E+5
4.067026300E+2 , NaN , NaN , NaN , NaN
4.067027200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.813736060E+5
4.067028100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.930431787E+5
4.067029000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.859379339E+5
4.067029900E+2 , NaN , NaN , NaN , NaN
